Index,Weight
3379,-4.88532
3147,-4.4461937
2631,-4.299168
2739,4.2408037
2913,-4.220887
1809,4.1140094
3024,4.107689
3078,4.104444
3186,-4.0363894
660,3.896692
2247,-3.8403447
2137,3.8388095
1043,3.7914217
3407,3.7813413
4034,3.7570262
1774,3.7398686
1624,-3.7352686
1585,3.6745796
3056,-3.673492
3522,3.634001
88,3.5973403
99,3.5913615
2430,3.5873914
1496,3.5764964
3504,-3.4983194
1849,3.4930174
3479,-3.4918168
3554,3.4597774
2133,-3.4407158
1160,3.430368
162,3.416894
195,3.3988676
3353,3.3976321
3301,3.3950825
2642,3.3939066
2697,-3.34909
234,-3.347212
3125,3.3358057
1943,3.3341877
2072,-3.3314655
3002,-3.311676
1455,3.3096251
1234,-3.2694764
3517,3.2677338
1034,3.267675
2601,-3.2674387
1390,3.264884
2761,3.262758
2310,-3.2443244
2555,-3.2286143
1395,-3.15673
3122,-3.1434977
225,-3.1382277
3257,-3.1353328
4027,-3.1275682
2188,3.1160984
1534,3.1144893
1396,-3.1134655
1392,-3.113265
2358,3.1104536
2582,-3.0922613
1699,3.0907865
1653,3.0841672
1852,-3.0809042
3826,-3.079314
3645,3.0680485
3626,-3.055443
2261,3.0411952
3867,-3.0369854
2400,3.0155346
3518,2.9727411
1982,-2.9663699
3972,2.9575548
2083,-2.956844
1872,-2.9525166
3888,2.9423559
3529,-2.9396558
103,-2.931406
2862,2.9059172
1426,2.8923109
3489,-2.8908257
2452,-2.8858376
2694,-2.8845887
3048,2.871411
1383,-2.861596
1194,2.85951
1640,2.8550136
206,2.8541205
3299,2.849377
1799,-2.8455675
105,-2.8451707
989,-2.8324783
275,2.824091
3191,-2.808661
2560,2.8058715
428,-2.8053591
3539,-2.803342
3140,-2.801519
1940,2.7992182
3951,-2.7859678
3859,2.7857819
3667,2.7840667
2260,-2.7775517
3177,2.765776
2122,2.7635639
1068,-2.7629616
712,-2.7486439
1758,-2.7457304
1425,2.7438338
653,2.741615
1760,-2.731028
552,2.7241187
3786,-2.7177298
345,2.7169793
2526,2.707748
281,2.7063375
1411,2.7039373
3963,2.6951468
3413,2.6895874
373,-2.681276
984,2.6669686
1211,-2.6640124
601,2.659369
4010,-2.659225
331,2.653243
398,2.6507766
2479,-2.648031
2116,2.644498
1279,2.638543
3132,-2.618796
244,-2.611105
1268,-2.6105838
3270,-2.607282
1794,-2.598548
3341,-2.5951748
3040,-2.590094
2817,-2.5892098
496,2.5878181
3591,2.5865555
3837,2.579205
2810,-2.57449
58,-2.5736756
255,2.5590403
2661,2.5553975
773,2.5463371
406,-2.546321
3997,2.5457845
72,2.5431237
231,2.541071
420,-2.5302427
3674,2.52575
1883,2.523621
2717,2.5122075
3131,2.5047228
73,-2.4999332
1242,-2.4944937
203,-2.4934978
1694,2.490865
911,-2.4847353
1517,2.484537
3990,-2.482087
785,-2.4792838
643,-2.478868
2518,2.476351
637,2.47295
67,-2.4707952
1153,-2.4651082
1868,2.4644294
2759,-2.453031
3968,-2.4522457
3780,-2.4506338
1555,-2.447122
1169,-2.4465683
2785,2.4380913
3566,2.4368682
827,2.4320874
1935,2.4281738
2788,2.4264064
1505,-2.4248993
2445,2.422086
672,-2.4210749
28,2.413121
3129,2.399431
3268,-2.399323
2173,2.398301
2928,2.3896005
3254,2.3885844
2823,2.3877506
3776,-2.380732
605,2.3769968
738,2.3666544
129,2.3498058
441,2.3472033
603,2.3460634
943,-2.3399787
1421,2.3369563
1975,2.3362186
2650,2.3298512
1448,2.3268785
1821,2.3266122
2437,-2.3201492
2884,-2.3177795
1398,2.3159623
2264,2.313716
2665,2.3090978
2757,-2.2972481
2702,-2.294795
583,-2.2925973
3829,-2.2897754
3519,2.2882144
1461,-2.2874875
891,-2.2817483
1122,2.2807038
4006,2.276434
2221,2.2735755
1632,-2.2724202
3709,-2.2715452
3148,-2.2571895
3013,2.2532294
1536,-2.2476578
1657,2.2424598
2944,-2.2424448
3847,-2.2415338
1602,2.2385328
1815,-2.2329783
146,-2.2327485
3586,2.231667
2061,-2.2281964
400,-2.2262995
556,-2.2178524
284,-2.2130382
1284,-2.2063122
1401,-2.2023017
1911,-2.197148
1098,-2.1827757
1888,-2.1760654
3814,-2.1734662
1846,2.169439
3241,2.1640322
2364,2.1541207
948,-2.1502156
2337,2.1452732
3347,-2.1437798
2238,2.143116
779,-2.1415231
1542,2.136712
1955,2.134491
1633,-2.1298978
1737,2.1297824
181,-2.1281564
3576,2.1275957
2976,2.12657
2471,-2.1239407
3202,2.1235635
2777,-2.1216319
205,-2.1215894
1587,-2.1192071
3883,-2.1121714
314,2.1118476
1617,2.109274
871,2.1092436
295,-2.103031
809,-2.1021805
1970,-2.0997975
3019,2.0957713
753,2.0939953
3218,-2.0938518
2527,2.0924523
3886,2.0923681
2414,-2.085689
1198,2.071019
2708,-2.0663285
1779,-2.0659947
12,-2.0616386
2140,-2.0598338
3861,2.0597105
2998,-2.0539281
3482,-2.049731
409,-2.0496812
1738,2.0477211
3955,-2.0450327
1506,2.0449214
3449,-2.042761
1495,2.0370064
2514,-2.035874
3313,2.0314507
1782,2.0294416
1500,2.0284855
2295,2.0170956
3508,-2.0153127
2940,2.0130749
479,-2.010784
2003,-2.0105224
2178,2.001986
2195,2.000813
3039,-1.995412
1503,1.9942819
3017,1.9939866
1376,-1.9912604
388,1.9895076
249,-1.978786
2410,-1.9767104
3754,-1.9704201
1300,1.9681998
1620,-1.9642633
1479,1.9638724
3627,-1.9599253
1919,1.9561476
480,1.9545072
405,-1.9477775
2967,1.9465674
2630,1.946349
2368,1.9460132
862,-1.9452662
1645,1.9442848
3146,1.9442071
874,-1.9432573
2417,1.9417455
3470,1.9393994
1362,1.9385517
2497,1.9368317
1988,1.9291456
1612,-1.9272689
2464,1.9259144
1424,-1.9241478
547,1.9238641
473,-1.9225428
187,-1.9187399
2830,1.9170535
2887,1.9149394
273,-1.9096165
2611,-1.9093177
1718,-1.90767
2472,1.9048035
1013,-1.8960481
2089,1.89332
3794,1.8867457
2720,-1.8850234
2604,-1.8813795
121,1.8805907
2557,1.879208
2531,-1.878309
3452,1.8780752
810,1.873739
1001,1.8712155
3970,-1.8708559
3113,1.8686312
346,1.862077
3633,-1.8605559
736,1.8602093
316,-1.8598378
2293,-1.8582916
1250,1.856955
3758,-1.8546937
1476,1.8528832
555,-1.8503039
2197,1.8496474
3279,1.8447295
1665,1.8430774
2011,1.838528
2569,1.8346663
3339,-1.8328356
2528,1.8318397
2986,-1.8294091
1100,1.8282522
2686,-1.8278574
2590,-1.8256376
516,-1.8250264
387,-1.8245454
4052,-1.8242266
2779,-1.8211797
3801,-1.8159095
2076,1.8139893
157,-1.8118466
3734,-1.8117892
1071,-1.8089329
2465,-1.8087605
