DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	CladeHighlights
COLOR	#000000

STRIP_WIDTH	100
MARGIN	5
BORDER_WIDTH	1

LEGEND_TITLE	Top Common Name Clades
LEGEND_SHAPES	1	1	1	1	1
LEGEND_COLORS	#226e9c	#AF588A	#E64B35	#F6921E	#228B3B
LEGEND_LABELS	Fishes	Toads	Snakes	Nematodes	Beetles

DATA
PleuronectesPlatessa1	#226e9c
NothobranchiusKuhntae17	#226e9c
XyrauchenTexanus85	#226e9c
XiphophorusCouchianus112	#226e9c
CyprinodonTularosa82	#226e9c
LabeoRohita93	#226e9c
PolypterusSenegalus4	#226e9c
BagariusYarrelli1	#226e9c
HemibagrusGuttatus19	#226e9c
DenticepsClupeoides122	#226e9c
SilurusAsotus13	#226e9c
GouaniaWilldenowi105	#226e9c
SynchiropusSplendidus94	#226e9c
OsmerusEperlanus36	#226e9c
CyprinusCarpio328	#226e9c
DunckerocampusDactyliophorus69	#226e9c
DenticepsClupeoides117	#226e9c
TrichomycterusRosablanca30	#226e9c
HypomesusTranspacificus20	#226e9c
LeptobrachiumLeishanense37	#AF588A
PolyodonSpathula36	#226e9c
BombinaBombina14	#AF588A
HylaSarda46	#AF588A
NanoranaParkeri24	#AF588A
SimochromisDiagramma83	#226e9c
AcipenserRuthenus81	#226e9c
HylaSarda47	#AF588A
EleutherodactylusCoqui18	#AF588A
MisgurnusAnguillicaudatus75	#226e9c
PundamiliaNyererei84	#226e9c
MugilCephalus111	#226e9c
SebastesUmbrosus100	#226e9c
AnolisCarolinensis68	#E64B35
ChanosChanos35	#226e9c
EublepharisMacularius25	#E64B35
GasterosteusAculeatus23	#226e9c
AlbulaGoreensis18	#226e9c
HemicordylusCapensis57	#E64B35
PseudophryneCorroboree53	#AF588A
PhycodurusEques54	#226e9c
SynchiropusSplendidus110	#226e9c
SinocyclocheilusAnshuiensis144	#226e9c
CaenorhabditisTropicalis1	#F6921E
ClupeaHarengus72	#226e9c
EnterobiusVermicularis1	#F6921E
LiparisTanakae15	#226e9c
MerlucciusPolli25	#226e9c
CaenorhabditisAuriculariae2	#F6921E
PangasianodonHypophthalmus80	#226e9c
TrichurisMuris2	#F6921E
PeriophthalmusMagnuspinnatus77	#226e9c
SetariaDigitata1	#F6921E
PristionchusPacificus2	#F6921E
SardinaPilchardus26	#226e9c
PanagrellusRedivivus2	#F6921E
SoboliphymeBaturini1	#F6921E
GadusMacrocephalus22	#226e9c
PseudonajaTextilis29	#E64B35
DissostichusMawsoni16	#226e9c
RanitomeyaImitator18	#AF588A
TrichinellaNativa3	#F6921E
GambusiaAffinis110	#226e9c
BrassicogethesAeneus1	#228B3B
TrichurisMuris1	#F6921E
GirardinichthysMultiradiatus72	#226e9c
ThalassophryneAmazonica58	#226e9c
OreochromisAureus95	#226e9c
NothobranchiusKuhntae27	#226e9c
HemicordylusCapensis59	#E64B35
PoeciliaMexicana120	#226e9c
SanderLucioperca112	#226e9c
AcipenserRuthenus62	#226e9c
AstatotilapiaCalliptera83	#226e9c
PeriophthalmusMagnuspinnatus76	#226e9c
VaranusKomodoensis39	#E64B35
ErpetoichthysCalabaricus49	#226e9c
DunckerocampusDactyliophorus76	#226e9c
LeptobrachiumLeishanense51	#AF588A
MastacembelusArmatus94	#226e9c
AlbulaGlossodonta10	#226e9c
OncorhynchusTshawytscha134	#226e9c
AnolisSagreiOrdinatus54	#E64B35
HypomesusTranspacificus28	#226e9c
AstyanaxMexicanus207	#226e9c
DiorhabdaSublineata1	#228B3B
HarmoniaAxyridis1	#228B3B
KryptolebiasMarmoratus99	#226e9c
MelanotaeniaBoesemani81	#226e9c
NotolabrusCelidotus31	#226e9c
DunckerocampusDactyliophorus85	#226e9c
SalvelinusNamaycush36	#226e9c
ElectrophorusElectricus119	#226e9c
TrichomycterusRosablanca35	#226e9c
GouaniaWilldenowi119	#226e9c
GouaniaWilldenowi120	#226e9c
ArchocentrusCentrarchus26	#226e9c
OncorhynchusTshawytscha133	#226e9c
SynchiropusSplendidus108	#226e9c
MolaMola20	#226e9c
MuraenolepisOrangiensis20	#226e9c
ZootocaVivipara31	#E64B35
OryziasMelastigma104	#226e9c
OryziasJavanicus19	#226e9c
AnguillaAnguilla102	#226e9c
BrienomyrusBrachyistius109	#226e9c
HomoSapien874	#AF588A
IgnelaterLuminosus3	#228B3B
PuntigrusTetrazona95	#226e9c
IgnelaterLuminosus4	#228B3B
MeloidogyneGraminicola1	#F6921E
AngiostrongylusCostaricensis1	#F6921E
AcipenserRuthenus91	#226e9c
PhotinusPyralis8	#228B3B
LarimichthysCrocea100	#226e9c
OnchocercaFlexuosa2	#F6921E
OncorhynchusMykiss183	#226e9c
PelmatolapiaMariae70	#226e9c
PhotinusPyralis12	#228B3B
LepisosteusOculatus52	#226e9c
AnolisCarolinensis72	#E64B35
EsoxLucius123	#226e9c
IgnelaterLuminosus5	#228B3B
SalariasFasciatus153	#226e9c
SteinernemaCarpocapsae3	#F6921E
IgnelaterLuminosus6	#228B3B
HuchoHucho88	#226e9c
IgnelaterLuminosus7	#228B3B
IgnelaterLuminosus8	#228B3B
FundulusHeteroclitus108	#226e9c
AstyanaxMexicanus173	#226e9c
PodarcisRaffonei30	#E64B35
PseudophryneCorroboree45	#AF588A
DenticepsClupeoides128	#226e9c
CandoiaAspera23	#E64B35
AhaetullaPrasina20	#E64B35
AlbulaGoreensis11	#226e9c
EublepharisMacularius19	#E64B35
SphenodonPunctatus18	#E64B35
AldrovandiaAffinis16	#226e9c
HippocampusZosterae85	#226e9c
AcipenserRuthenus80	#226e9c
PsylliodesChrysocephala1	#228B3B
GadusMorhua48	#226e9c
AustrofundulusLimnaeus82	#226e9c
TrichomycterusRosablanca33	#226e9c
GloboderaPallida1	#F6921E
NeolamprologusBrichardi71	#226e9c
ArchocentrusCentrarchus32	#226e9c
DitylenchusDestructor1	#F6921E
MesorhabditisSpiculigera3	#F6921E
DiploscapterPachys1	#F6921E
PercaFlavescens37	#226e9c
PolypterusSenegalus71	#226e9c
ScophthalmusMaximus163	#226e9c
SphaeramiaOrbicularis136	#226e9c
GloboderaRostochiensis2	#F6921E
MaylandiaZebra102	#226e9c
SalariasFasciatus112	#226e9c
LeptobrachiumLeishanense50	#AF588A
ChannaStriata27	#226e9c
CaenorhabditisAngaria2	#F6921E
HomoSapien957	#226e9c
LabeoRohita107	#226e9c
SinocyclocheilusAnshuiensis138	#226e9c
SyngnathoidesBiaculeatus41	#226e9c
BoleophthalmusPectinirostris26	#226e9c
StrongyloidesStercoralis1	#F6921E
PeriophthalmusMagnuspinnatus86	#226e9c
ClariasGariepinus74	#226e9c
ElgariaMulticarinataWebbii28	#E64B35
OnychostomaMacrolepis54	#226e9c
IgnelaterLuminosus2	#228B3B
VaranusKomodoensis48	#E64B35
MesorhabditisBelari1	#F6921E
ElgariaMulticarinataWebbii29	#E64B35
AlbulaGoreensis14	#226e9c
CylasFormicarius1	#228B3B
AlosaAlosa51	#226e9c
SalariasFasciatus113	#226e9c
EngraulisEncrasicolus31	#226e9c
MuraenolepisOrangiensis14	#226e9c
OreochromisNiloticus120	#226e9c
MegalopsAtlanticus17	#226e9c
PelmatolapiaMariae64	#226e9c
Nothobranchius19	#226e9c
MerlucciusPolli20	#226e9c
AmphiprionPercula31	#226e9c
MerlucciusPolli19	#226e9c
SynchiropusSplendidus97	#226e9c
HemibagrusGuttatus18	#226e9c
EpinephelusMoara38	#226e9c
AnoplophoraGlabripennis1	#228B3B
OnthophagusTaurus1	#228B3B
AnthonomusGrandisGrandis1	#228B3B
MyripristisMurdjan67	#226e9c
BoleophthalmusPectinirostris15	#226e9c
SparusAurata130	#226e9c
HylaSarda52	#AF588A
LarimichthysCrocea79	#226e9c
LepisosteusOculatus49	#226e9c
CarassiusGibelio92	#226e9c
LamprisIncognitus28	#226e9c
RanaTemporaria74	#AF588A
CtenopharyngodonIdella63	#226e9c
CyprinusCarpio442	#226e9c
PhaedonCochleariae1	#228B3B
DenticepsClupeoides135	#226e9c
ElectrophorusVoltai16	#226e9c
OryziasLatipes185	#226e9c
AnabasTestudineus104	#226e9c
Electrophorus4	#226e9c
TrichomycterusRosablanca34	#226e9c
IgnelaterLuminosus1	#228B3B
PogonaVitticeps43	#E64B35
AcrobeloidesNanus1	#F6921E
HemicordylusCapensis58	#E64B35
ThalassophryneAmazonica57	#226e9c
PhycodurusEques55	#226e9c
DenticepsClupeoides136	#226e9c
XenopusTropicalis68	#AF588A
PodarcisRaffonei34	#E64B35
TetraodonNigroviridis38	#226e9c
Xiphophorus1	#226e9c
HeteronotiaBinoei61	#E64B35
CynoglossusSemilaevis93	#226e9c
CyclopterusLumpus65	#226e9c
SpeaBombifrons26	#AF588A
OncorhynchusMykiss172	#226e9c
CongerConger30	#226e9c
SoboliphymeBaturini2	#F6921E
EngraulisEncrasicolus37	#226e9c
StrongyloidesRatti2	#F6921E
GadusChalcogrammus26	#226e9c
PlectusSambesii2	#F6921E
NeogobiusMelanostomus42	#226e9c
NototheniaCoriiceps36	#226e9c
MuraenolepisOrangiensis23	#226e9c
SoboliphymeBaturini3	#F6921E
AmphilophusCitrinellus28	#226e9c
SyphaciaMuris2	#F6921E
PundamiliaNyererei90	#226e9c
SteinernemaHermaphroditum1	#F6921E
PlectusSambesii4	#F6921E
SalariasFasciatus136	#226e9c
OnchocercaVolvulus2	#F6921E
TetraodonNigroviridis45	#226e9c
MuraenolepisOrangiensis21	#226e9c
CynoglossusSemilaevis94	#226e9c
SynchiropusSplendidus111	#226e9c
AnabasTestudineus116	#226e9c
PoeciliopsisProlifica89	#226e9c
RomanomermisCulicivorax1	#F6921E
TakifuguRubripes126	#226e9c
CorythoichthysIntestinalis72	#226e9c
MuraenolepisOrangiensis18	#226e9c
LacertaAgilis69	#E64B35
ScleropagesFormosus128	#226e9c
AethinaTumida1	#228B3B
SparusAurata125	#226e9c
BufoGargarizans21	#AF588A
BufoGargarizans22	#AF588A
ZootocaVivipara29	#E64B35
MerlucciusPolli16	#226e9c
SceloporusUndulatus64	#E64B35
ElectrophorusElectricus52	#226e9c
NeolamprologusBrichardi54	#226e9c
LepisosteusOculatus43	#226e9c
PseudophryneCorroboree52	#AF588A
GadusChalcogrammus9	#226e9c
MugilCephalus96	#226e9c
AnguillaAnguilla107	#226e9c
MerlucciusPolli17	#226e9c
GekkoJaponicus18	#E64B35
HeteronotiaBinoei59	#E64B35
ElgariaMulticarinataWebbii26	#E64B35
SilurusAsotus16	#226e9c
LamprisIncognitus24	#226e9c
SynaphobranchusKaupii18	#226e9c
ThalassophryneAmazonica46	#226e9c
BagariusYarrelli18	#226e9c
MelanotaeniaBoesemani79	#226e9c
PogonaVitticeps40	#E64B35
RhynchophorusFerrugineus1	#228B3B
CynoglossusSemilaevis90	#226e9c
HylaSarda54	#AF588A
MuraenolepisOrangiensis17	#226e9c
PlectusSambesii1	#F6921E
EcheneisNaucrates80	#226e9c
OryziasLatipes196	#226e9c
SalariasFasciatus142	#226e9c
BoleophthalmusPectinirostris23	#226e9c
CongerConger24	#226e9c
AmphiprionPercula22	#226e9c
DicentrarchusLabrax149	#226e9c
AtractosteusSpatula13	#226e9c
ChanosChanos30	#226e9c
BettaSplendens98	#226e9c
TriboliumMadens1	#228B3B
PodarcisRaffonei35	#E64B35
BufoBufo29	#AF588A
ThalassophryneAmazonica53	#226e9c
ClariasGariepinus67	#226e9c
ThalassophryneAmazonica49	#226e9c
BufoGargarizans30	#AF588A
GadusMacrocephalus20	#226e9c
MegalopsCyprinoides62	#226e9c
SalariasFasciatus117	#226e9c
PlectropomusLeopardus45	#226e9c
PoeciliaLatipinna80	#226e9c
AnguillaAnguilla111	#226e9c
ScleropagesFormosus122	#226e9c
HemicordylusCapensis54	#E64B35
ProtobothropsMucrosquamatus21	#E64B35
NothobranchiusFurzeri182	#226e9c
NanoranaParkeri25	#AF588A
ScleropagesFormosus130	#226e9c
LepisosteusOculatus45	#226e9c
StegastesPartitus49	#226e9c
TrichomycterusRosablanca37	#226e9c
TrichomycterusRosablanca38	#226e9c
SynchiropusSplendidus100	#226e9c
CongerConger39	#226e9c
RhineuraFloridana23	#E64B35
NeolamprologusBrichardi41	#226e9c
LeptobrachiumLeishanense32	#AF588A
NanoranaParkeri14	#AF588A
SphaeramiaOrbicularis117	#226e9c
AmeiurusMelas10	#226e9c
HylaSarda49	#AF588A
BombinaBombina18	#AF588A
ColossomaMacropomum45	#226e9c
ParambassisRanga60	#226e9c
MonopterusAlbus72	#226e9c
ParambassisRanga63	#226e9c
NicrophorusVespilloides1	#228B3B
RhineuraFloridana34	#E64B35
ElectrophorusElectricus121	#226e9c
PseudophryneCorroboree47	#AF588A
MegalopsCyprinoides55	#226e9c
ScleropagesFormosus119	#226e9c
CheilinusUndulatus47	#226e9c
MegalopsCyprinoides59	#226e9c
VaranusKomodoensis43	#E64B35
MegalopsCyprinoides58	#226e9c
BrienomyrusBrachyistius80	#226e9c
SphenodonPunctatus21	#E64B35
AlosaAlosa42	#226e9c
SyngnathoidesBiaculeatus29	#226e9c
SilurusMeridionalis64	#226e9c
ParamormyropsKingsleyae62	#226e9c
CarassiusGibelio86	#226e9c
ChanosChanos25	#226e9c
PseudophryneCorroboree46	#AF588A
SalvelinusFontinalis99	#226e9c
ErpetoichthysCalabaricus62	#226e9c
ElgariaMulticarinataWebbii23	#E64B35
RhineuraFloridana31	#E64B35
EleutherodactylusCoqui17	#AF588A
RanitomeyaImitator10	#AF588A
DunckerocampusDactyliophorus19	#226e9c
CynoglossusSemilaevis78	#226e9c
MerlucciusPolli22	#226e9c
SyngnathusAcus87	#226e9c
BombinaBombina21	#AF588A
CentropristisStriata50	#226e9c
PlatichthysFlesus32	#226e9c
CololabisSaira65	#226e9c
LamprisIncognitus31	#226e9c
SoleaSenegalensis97	#226e9c
VaranusKomodoensis46	#E64B35
GadusMorhua62	#226e9c
TriplophysaTibetana26	#226e9c
PanagrolaimusSp.Ju7651	#F6921E
DenticepsClupeoides140	#226e9c
NematolebiasWhitei23	#226e9c
KryptolebiasMarmoratus105	#226e9c
VaranusKomodoensis45	#E64B35
AuanemaSp.Ju17831	#F6921E
HippocampusZosterae91	#226e9c
NeolamprologusBrichardi70	#226e9c
SynchiropusSplendidus109	#226e9c
SardinaPilchardus25	#226e9c
SphaeramiaOrbicularis143	#226e9c
CaenorhabditisAuriculariae1	#F6921E
SalvatorMerianae24	#E64B35
AcrobeloidesNanus2	#F6921E
PhycodurusEques57	#226e9c
CallosobruchusMaculatus1	#228B3B
BursaphelenchusXylophilus2	#F6921E
TetraodonNigroviridis42	#226e9c
CaenorhabditisAngaria1	#F6921E
HomoSapien953	#226e9c
PhrynocephalusForsythii13	#E64B35
AstyanaxMexicanus214	#226e9c
AcipenserRuthenus88	#226e9c
ElectrophorusElectricus120	#226e9c
SinocyclocheilusRhinocerous95	#226e9c
ChanosChanos20	#226e9c
HippocampusZosterae71	#226e9c
PhycodurusEques47	#226e9c
SanderLucioperca105	#226e9c
AcipenserRuthenus75	#226e9c
DanioRerio55	#226e9c
NeoariusGraeffei15	#226e9c
MenidiaMenidia16	#226e9c
GadusMacrocephalus11	#226e9c
PhotinusPyralis1	#228B3B
PhotinusPyralis5	#228B3B
DissostichusEleginoides10	#226e9c
PhotinusPyralis3	#228B3B
PhotinusPyralis4	#228B3B
SinipercaChuatsi103	#226e9c
PoeciliaMexicana107	#226e9c
ColossomaMacropomum48	#226e9c
PoeciliaLatipinna78	#226e9c
TriplophysaDalaica60	#226e9c
AldrovandiaAffinis18	#226e9c
PhotinusPyralis7	#228B3B
AnabariliusGrahami14	#226e9c
RanaTemporaria75	#AF588A
BettaSplendens102	#226e9c
ParalichthysOlivaceus51	#226e9c
SeriolaLalandiDorsalis62	#226e9c
NematolebiasWhitei21	#226e9c
GadusMorhua56	#226e9c
ChannaArgus20	#226e9c
BombinaBombina19	#AF588A
NothobranchiusKuhntae25	#226e9c
MugilCephalus98	#226e9c
AmphiprionOcellaris119	#226e9c
ChanosChanos31	#226e9c
SphaeramiaOrbicularis130	#226e9c
LeptobrachiumLeishanense49	#AF588A
ScleropagesFormosus126	#226e9c
SalmoTrutta113	#226e9c
TachysurusFulvidraco86	#226e9c
BombinaBombina13	#AF588A
TakifuguRubripes83	#226e9c
AstyanaxMexicanus192	#226e9c
PodarcisMuralis71	#E64B35
ClupeaHarengus69	#226e9c
PolyodonSpathula39	#226e9c
KryptolebiasMarmoratus106	#226e9c
