id,identity_to_query
Q99972/244-504,1.000
UniRef100_UPI0024C48FC6/81-335,0.352
UniRef100_UPI0024C48FC6/348-602,0.352
UniRef100_A0A8J1T7L6/273-513,0.280
UniRef100_A0A8J1T7L6/565-806,0.287
UniRef100_A0A8J1T7L6/856-1095,0.268
UniRef100_UPI0007B7D01D/29-284,0.356
UniRef100_UPI0007B7D01D/390-594,0.299
UniRef100_A0A803VX56/2-187,0.291
UniRef100_A0A803VX56/219-435,0.341
UniRef100_A0A8X8BJ21/192-447,0.341
UniRef100_A0A8X8BJ21/626-882,0.337
UniRef100_A0A6A4STD3/358-607,0.352
UniRef100_A0A6A4STD3/613-807,0.310
UniRef100_A0A8S4NRI9/526-773,0.238
UniRef100_A0A8S4NRI9/801-1047,0.241
UniRef100_A0A8S4NRI9/1074-1320,0.238
UniRef100_A0A8J1T7N2/513-760,0.238
UniRef100_A0A8J1T7N2/788-1034,0.241
UniRef100_A0A8J1T7N2/1061-1307,0.238
UniRef100_A0A3M6UP54/83-333,0.349
UniRef100_A0A3M6UP54/409-659,0.352
UniRef100_A0A9J7LPC7/195-444,0.314
UniRef100_A0A9J7LPC7/518-785,0.364
UniRef100_A0A8K0ABK6/139-388,0.322
UniRef100_A0A8K0ABK6/463-712,0.349
UniRef100_A0A9W7WMI9/194-447,0.280
UniRef100_A0A9W7WMI9/627-889,0.295
UniRef100_A0A315UZ61/201-456,0.257
UniRef100_A0A315UZ61/648-907,0.284
UniRef100_UPI002FDEEDD0/1133-1384,0.268
UniRef100_A0A553Q3T0/194-452,0.291
UniRef100_A0A553Q3T0/590-852,0.295
UniRef100_A0A8X8BJG3/143-332,0.234
UniRef100_A0A8X8BJG3/586-843,0.322
UniRef100_A0A556U527/718-969,0.276
UniRef100_A0A556U527/1149-1409,0.284
UniRef100_A0A9Q0IXU9/212-349,0.161
UniRef100_A0A9Q0IXU9/536-798,0.268
UniRef100_A0A8S4NM72/612-853,0.299
UniRef100_A0A8S4NM72/865-1119,0.299
UniRef100_UPI0011329F55/17-276,0.916
UniRef100_A0A9D3SR64/1166-1426,0.280
UniRef100_A0A9Q1CHS5/224-397,0.195
UniRef100_A0A9Q1CHS5/581-844,0.287
UniRef100_A0A5J5DCB8/52-306,0.352
UniRef100_UPI0024C26706/88-337,0.395
UniRef100_UPI000854F82E/218-468,0.402
UniRef100_UPI0008549BCB/222-472,0.402
UniRef100_UPI0008541E4B/225-475,0.402
UniRef100_UPI000854A349/225-475,0.402
UniRef100_UPI0008540B7F/225-475,0.402
UniRef100_A0A6I8RIY4/218-468,0.398
UniRef100_A0A822D8X2/229-478,0.395
UniRef100_A0A974DFY5/194-444,0.398
UniRef100_A0A6F9AMD8/42-296,0.356
UniRef100_A0A8J0UG13/218-468,0.398
UniRef100_A0A6I8R5Z7/251-501,0.398
UniRef100_A0A8J6EPF8/199-448,0.395
UniRef100_UPI001AAD4FAC/199-448,0.395
UniRef100_A0A8T2JCQ0/218-468,0.398
UniRef100_UPI00235B018C/194-444,0.402
UniRef100_A0AAD3QXV1/123-377,0.352
UniRef100_UPI001ABDA2A6/218-468,0.402
UniRef100_UPI001CF30A6B/218-468,0.402
UniRef100_UPI003081406B/218-468,0.402
UniRef100_A0A8J6EQQ9/227-476,0.395
UniRef100_UPI001CF58E43/223-473,0.402
UniRef100_UPI003081E90E/222-472,0.402
UniRef100_UPI00235B0828/218-468,0.402
UniRef100_A0A8T2JV98/199-448,0.395
UniRef100_A0A8J0TEM2/200-449,0.395
UniRef100_Q8UVR2/200-449,0.395
UniRef100_A0A8T2JT81/227-476,0.395
UniRef100_UPI00053097FA/9-258,0.395
UniRef100_A0A8T3D8M4/139-393,0.360
UniRef100_A0A974H590/227-476,0.395
UniRef100_Q8UVR1/227-476,0.395
UniRef100_Q32N63/227-476,0.395
UniRef100_UPI0027E14FAD/139-393,0.356
UniRef100_UPI0027E0523C/139-393,0.356
UniRef100_UPI0027DECAE8/139-393,0.356
UniRef100_UPI0027DF49BE/139-393,0.356
UniRef100_UPI00112D5AFF/199-448,0.402
UniRef100_UPI0027DECB31/139-393,0.356
UniRef100_UPI0027DF9434/139-393,0.356
UniRef100_A0AAD1RL62/172-422,0.398
UniRef100_UPI003080B1AB/139-393,0.356
UniRef100_UPI00308019A1/139-393,0.356
UniRef100_UPI00308047CD/139-393,0.356
UniRef100_UPI00307FD88E/139-393,0.356
UniRef100_UPI0003C8CFB7/209-458,0.391
UniRef100_UPI002349379C/218-468,0.395
UniRef100_UPI003080D531/139-393,0.356
UniRef100_UPI002349D5D6/222-472,0.395
UniRef100_UPI0030802C56/139-393,0.356
UniRef100_UPI00189E730C/144-398,0.356
UniRef100_UPI001CFB80DE/222-472,0.398
UniRef100_UPI00189F7301/164-418,0.356
UniRef100_UPI003080F3E6/139-393,0.356
UniRef100_UPI003080808F/139-393,0.356
UniRef100_UPI00189D595E/164-418,0.356
UniRef100_UPI00307FF6F9/139-393,0.356
UniRef100_UPI00189DEB0C/164-418,0.356
UniRef100_UPI0023EC5828/139-393,0.356
UniRef100_UPI0008541B3D/199-448,0.391
UniRef100_UPI00112B96A9/227-476,0.402
UniRef100_UPI0018A08394/164-418,0.356
UniRef100_UPI00307FE71D/139-393,0.356
UniRef100_UPI0023EB2C53/139-393,0.356
UniRef100_UPI0023EB6E7F/139-393,0.356
UniRef100_L8YCW6/227-476,0.391
UniRef100_UPI0027E05D37/139-393,0.356
UniRef100_UPI00189D9634/164-418,0.356
UniRef100_UPI0027DF5796/139-393,0.356
UniRef100_UPI00189C8687/139-393,0.356
UniRef100_UPI00189D4CB4/164-418,0.356
UniRef100_UPI0023EDB490/139-393,0.356
UniRef100_UPI00189F2AB2/164-418,0.356
UniRef100_A0A3Q3QZM1/128-382,0.349
UniRef100_UPI00189D0ED2/164-418,0.356
UniRef100_UPI0027DF27EC/139-393,0.356
UniRef100_UPI0018A047F0/164-418,0.356
UniRef100_UPI0023EB84E0/139-393,0.356
UniRef100_UPI002FE4DBF1/218-468,0.398
UniRef100_UPI0008544A46/222-471,0.391
UniRef100_A0AAD1RN14/218-468,0.398
UniRef100_UPI0009B2EC1C/164-418,0.349
UniRef100_UPI0009B4372E/164-418,0.349
UniRef100_UPI0023ED8CDB/139-393,0.356
UniRef100_UPI002FE44182/222-472,0.398
UniRef100_UPI0018A1111D/139-393,0.356
UniRef100_UPI0009B40469/164-418,0.349
UniRef100_UPI0027DFB0AD/139-393,0.356
UniRef100_A0AAD1RL26/222-472,0.398
UniRef100_UPI0027E18839/139-393,0.356
UniRef100_UPI00189E330E/144-398,0.356
UniRef100_UPI0018A075B3/139-393,0.356
UniRef100_UPI0027DF1F80/139-393,0.356
UniRef100_UPI0027DEC6C6/139-393,0.356
UniRef100_UPI00189D008E/144-398,0.356
UniRef100_UPI0018A0FA1E/144-398,0.356
UniRef100_UPI000854616D/227-476,0.391
UniRef100_UPI003080951A/139-393,0.356
UniRef100_UPI00189DE2C9/164-418,0.356
